"Index","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
2016-07-11 08:25:00,6,1,7,6,1,7,1,0,14,0,24,2,3,17,3,0,2,1,1,0,5,11,0,16,7,5,40,15,48,33,54
2016-07-11 08:30:00,2,7,1,7,0,4,9,0,19,3,26,7,0,10,3,0,3,4,0,13,19,7,10,3,13,9,17,10,13,45,29
2016-07-11 08:35:00,4,11,9,11,0,0,0,24,8,3,11,0,0,14,6,7,12,6,4,0,5,12,3,30,92,23,6,3,14,23,72
2016-07-11 08:40:00,1,13,10,9,0,0,7,2,15,5,3,0,4,21,5,0,9,10,1,12,17,12,7,8,43,1,15,25,19,42,22
2016-07-11 08:45:00,11,6,21,3,11,5,0,5,2,9,5,6,1,5,19,4,15,13,1,2,10,12,6,14,38,31,11,26,50,53,13
2016-07-11 08:50:00,0,7,5,5,5,21,6,26,7,11,15,0,0,23,12,0,1,8,8,1,6,5,3,33,20,17,4,38,28,26,27
2016-07-11 08:55:00,4,0,10,10,6,10,30,5,6,9,13,0,4,3,3,4,8,6,12,4,9,19,22,21,6,6,7,13,38,32,48
2016-07-11 09:00:00,5,3,6,7,16,5,8,3,3,3,19,4,0,0,20,10,12,3,26,25,3,5,4,12,57,22,7,18,40,17,59
2016-07-11 09:05:00,12,11,10,8,3,9,4,21,13,10,4,13,0,6,4,6,50,34,10,22,5,21,5,15,25,7,27,31,37,13,17
2016-07-11 09:10:00,7,0,12,4,7,13,9,5,10,15,0,0,5,9,8,17,23,19,6,21,7,8,11,4,24,12,22,25,56,24,24
2016-07-11 09:15:00,4,0,12,17,10,0,3,0,4,6,22,7,3,6,0,27,2,3,13,3,0,18,24,6,4,4,15,71,31,25,38
2016-07-11 09:20:00,1,6,8,3,0,5,5,8,10,12,19,8,0,12,2,23,7,11,6,1,7,18,5,11,15,4,16,8,62,12,36
2016-07-11 09:25:00,33,13,2,1,19,0,13,0,18,0,16,17,14,13,5,4,6,12,8,0,5,17,1,17,7,23,17,19,25,45,52
2016-07-11 09:30:00,15,7,5,9,3,16,11,16,13,14,3,8,0,1,2,3,5,1,10,6,11,22,4,4,51,22,13,5,26,32,67
2016-07-11 09:35:00,4,8,5,9,0,7,3,4,4,7,0,12,0,15,4,7,5,2,2,39,1,5,9,7,24,26,36,35,28,73,62
2016-07-11 09:40:00,1,0,1,0,6,3,10,0,7,31,8,10,1,0,2,1,5,0,1,2,7,21,9,5,59,18,35,31,29,32,57
2016-07-11 09:45:00,8,11,7,4,6,4,20,6,5,4,0,0,14,11,14,5,1,9,36,7,32,9,12,0,34,17,12,31,54,62,98
2016-07-11 09:50:00,0,1,0,4,10,4,6,21,0,1,0,7,17,4,2,0,0,5,7,3,5,12,8,30,15,12,25,43,58,51,16
2016-07-11 09:55:00,4,16,7,0,0,0,18,8,0,1,5,14,0,14,2,7,0,4,19,0,3,10,20,42,25,11,24,49,80,48,87
2016-07-11 10:00:00,0,3,0,0,0,0,16,0,5,3,3,0,5,10,6,0,6,7,6,3,13,9,18,23,12,8,31,47,23,54,10
2016-07-11 10:05:00,1,0,0,1,10,6,4,8,11,15,4,0,1,0,3,4,8,6,2,9,1,30,7,20,9,33,29,28,39,41,43
2016-07-11 10:10:00,4,6,1,0,7,9,6,0,5,6,3,4,7,0,13,4,10,2,0,2,4,29,6,0,10,31,20,3,17,77,83
2016-07-11 10:15:00,1,0,0,7,10,11,14,0,2,0,0,0,3,8,7,9,0,1,0,2,2,19,6,1,10,17,19,16,20,15,12
2016-07-11 10:20:00,33,0,3,2,0,0,5,0,6,2,5,5,17,0,1,4,25,6,12,9,8,5,8,18,4,8,26,10,55,21,41
2016-07-11 10:25:00,4,6,0,12,0,3,0,10,10,6,4,3,8,0,1,18,8,3,0,14,14,5,3,0,1,43,36,52,21,32,39
2016-07-11 10:30:00,4,5,2,0,1,2,5,4,0,1,4,9,0,11,1,6,5,1,0,1,0,6,8,16,1,19,44,3,9,11,41
2016-07-11 10:35:00,3,8,1,0,0,1,1,0,12,1,5,2,0,3,1,1,6,7,5,0,4,0,4,6,21,13,35,15,33,37,51
2016-07-11 10:40:00,0,0,0,7,3,0,1,27,2,2,37,9,0,4,1,1,20,12,2,8,3,21,20,18,41,25,40,24,42,63,37
2016-07-11 10:45:00,0,0,106,15,2,2,0,25,5,3,7,2,11,0,9,0,8,4,3,24,2,63,19,15,39,10,8,3,42,25,46
2016-07-11 10:50:00,8,7,1,1,4,0,5,1,9,13,6,10,11,4,4,5,11,2,4,20,3,25,8,0,40,21,27,20,62,43,28
2016-07-11 10:55:00,0,0,14,0,0,0,2,1,3,3,1,4,2,0,10,0,8,6,0,7,14,18,13,10,35,27,11,17,79,14,32
